"species0","species","K","t0","lInf"
"0","AtlanticHerring","0.44","-0.69","30.5"
"1","AtlanticMackerel","0.837","-0.18","33.6"
"10","HorseMackerel","0.24","-1.58","35"
"11","Whiting","0.432","-0.5","38.1"
"12","CommonDab","0.21","-0.89","33"
"13","GreyGurnard","0.16","0","46"
"14","Hake","0.073","-1.13","127.5"
"15","Shrimp","0.208","-1.14","18"
"2","Sandeel","0.36","0","18.5"
"3","EuropeanSprat","0.503","-0.49","15"
"4","NorwayPout","0.52","0","22.6"
"5","EuropeanPlaice","0.16","-1","48"
"6","CommonSole","0.148","-3","40"
"7","Saithe","0.211","-0.04","87.7"
"8","AtlanticCod","0.208","0.08","116"
"9","Haddock","0.25","-0.25","61.4"
